[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 0; LaunchNum: 1; Timer: hpctimer_getwtime(); WriteTime: 0.00785; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00013; RelErrorWrite: 0.01587 %; ReadTime: 0.01013; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00037; RelErrorRead: 0.03560 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 1; LaunchNum: 2; Timer: hpctimer_getwtime(); WriteTime: 0.00788; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00009; RelErrorWrite: 0.01163 %; ReadTime: 0.00985; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00066; RelErrorRead: 0.06254 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 2; LaunchNum: 3; Timer: hpctimer_getwtime(); WriteTime: 0.00935; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00137; RelErrorWrite: 0.17207 %; ReadTime: 0.00990; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00061; RelErrorRead: 0.05761 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 3; LaunchNum: 4; Timer: hpctimer_getwtime(); WriteTime: 0.00746; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00052; RelErrorWrite: 0.06493 %; ReadTime: 0.01165; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00115; RelErrorRead: 0.10961 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 4; LaunchNum: 5; Timer: hpctimer_getwtime(); WriteTime: 0.00755; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00042; RelErrorWrite: 0.05326 %; ReadTime: 0.00971; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00079; RelErrorRead: 0.07526 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 5; LaunchNum: 6; Timer: hpctimer_getwtime(); WriteTime: 0.00757; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00041; RelErrorWrite: 0.05086 %; ReadTime: 0.01263; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00213; RelErrorRead: 0.20277 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 6; LaunchNum: 7; Timer: hpctimer_getwtime(); WriteTime: 0.00786; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00012; RelErrorWrite: 0.01442 %; ReadTime: 0.00985; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00066; RelErrorRead: 0.06255 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 7; LaunchNum: 8; Timer: hpctimer_getwtime(); WriteTime: 0.00808; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00010; RelErrorWrite: 0.01259 %; ReadTime: 0.01163; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00112; RelErrorRead: 0.10709 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 8; LaunchNum: 9; Timer: hpctimer_getwtime(); WriteTime: 0.00811; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00013; RelErrorWrite: 0.01669 %; ReadTime: 0.00926; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00124; RelErrorRead: 0.11804 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 9; LaunchNum: 10; Timer: hpctimer_getwtime(); WriteTime: 0.00802; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00004; RelErrorWrite: 0.00559 %; ReadTime: 0.01150; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00100; RelErrorRead: 0.09510 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 10; LaunchNum: 11; Timer: hpctimer_getwtime(); WriteTime: 0.00712; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00086; RelErrorWrite: 0.10733 %; ReadTime: 0.00932; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00118; RelErrorRead: 0.11243 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 11; LaunchNum: 12; Timer: hpctimer_getwtime(); WriteTime: 0.00924; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00126; RelErrorWrite: 0.15810 %; ReadTime: 0.01144; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00094; RelErrorRead: 0.08926 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 12; LaunchNum: 13; Timer: hpctimer_getwtime(); WriteTime: 0.00744; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00054; RelErrorWrite: 0.06795 %; ReadTime: 0.00958; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00093; RelErrorRead: 0.08825 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 13; LaunchNum: 14; Timer: hpctimer_getwtime(); WriteTime: 0.00836; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00038; RelErrorWrite: 0.04768 %; ReadTime: 0.01090; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00040; RelErrorRead: 0.03792 %;]
[MemoryType: HDD|SSD; BlockSize: 33554432; ElmentType: CHAR; BufferSize: 14; LaunchNum: 15; Timer: hpctimer_getwtime(); WriteTime: 0.00777; AverageWriteTime: 0.00798; WriteBandwidth: 4011.17165; AbsErrorWrite: 0.00021; RelErrorWrite: 0.02648 %; ReadTime: 0.01019; AverageReadTime: 0.01050; ReadBandwidth: 3046.61699; AbsErrorRead: 0.00031; RelErrorRead: 0.02946 %;]
